id;myzone;neighborhood;going;place;route;routine_id;hub;slots;description;created_at;updated_at;week_days;repeats_until;done;deleted_at;date
;Zona Sul;Copacabana;;Posto 3;Túnel Velho, Pedacinho De Botafogo, Humaitá, Rebouças;;CCMN;;Galera, só peço colaboração de 4,00 pra gasolina;2017-03-01 17:55:57;2017-04-19 11:59:25;2;;;;2017-05-16 07:45:00
;Grande Niterói;Centro (Niterói);;Ponto Cem réis ;Letras- Linha Vermelha- Ponte- Ponto Cem Réis;;Letras;;"Na volta o carro sempre volta vazio, sem nenhuma carona. Horário pode variar, dependendo dos professores. 
Esquema de carona compartilhada, assim não fica pesado (R$)  para ninguém.
";2016-04-09 17:37:50;2017-04-19 11:59:25;1,2,3,5;;;;2016-05-02 21:00:00
;Zona Oeste;Jardim Sulacap;;Shopping Jardim Sulacap;Linha Amarela, Dom Hélder, Cascadura, Campinho, Jardim Sulacap;;CT: Bloco H;;;2016-04-14 18:11:28;2017-04-19 11:59:25;3;;;;2016-05-25 13:00:00
;Baixada;Duque de Caxias;;25 de Agosto;;;CT: Bloco D;;;2017-12-04 02:37:05;2017-12-04 02:37:05;1,2;;;;2017-12-18 17:00:00
;Zona Sul;Copacabana;;Copacabana Palace;Santa Bárbara ;;Reitoria;;não fumo, não saio da rota;2017-01-16 11:30:55;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-03-09 12:45:00
;Baixada;Duque de Caxias;;Teatro Municipal Raul Cortes;Linha vermelha;;CCS: Frente;;Contribuição: R$4,00;2018-11-26 12:19:59;2018-11-26 12:19:59;2,3,4,5;;;;2018-12-06 21:30:00
;Zona Norte;Engenho de Dentro;;Praça Amambaí, Cocomambo;Linha Amarela;;CT;;"Não fumo. 
Favor, não fumar, beber ou comer dentro do veículo.";2019-03-12 18:20:44;2019-03-12 18:20:44;2,3;2019-07-13;;;2019-04-23 18:30:00
;Zona Norte;Cocotá;;Próximo ao fórum ;A Combinar;;CT: Bloco A;;;2016-06-13 14:19:31;2017-04-19 11:59:25;;;;2016-06-13 16:00:09;2016-06-13 17:00:00
;Zona Norte;Tijuca;;mariz e Barros, Afonso pena ;;;CT: Bloco A;;não fumo, pequena ajuda na gasolina, pequenos desvios podem ser feitos;2016-06-30 10:29:59;2017-04-19 11:59:25;;;;;2016-06-30 13:30:00
;Baixada;Duque de Caxias;;whashington Luiz;km 102 ;;CCMN;;;2016-09-11 13:02:28;2017-04-19 11:59:25;1,2,3,4;;;;2016-09-13 16:35:00
